request_id,successful,ttft,request_latency,num_input_tokens,num_output_tokens,decode_speed,submit_time,first_token_time,finish_time,error
doc6_q1,True,0.6956205368041992,25.446093320846558,6014,128,5.1716183814689325,1781466603.6996214,1781466604.395242,1781466629.1457148,
doc8_q1,True,0.6915810108184814,25.440852165222168,6014,128,5.171869474516816,1781466603.7049363,1781466604.3965173,1781466629.1457884,
doc9_q1,True,0.6892673969268799,25.437463521957397,6014,128,5.172094133783747,1781466603.7083886,1781466604.397656,1781466629.145852,
doc5_q1,True,0.7003912925720215,25.44920539855957,6014,128,5.171964985951897,1781466603.6967092,1781466604.3971004,1781466629.1459146,
doc15_q1,True,0.7225358486175537,25.631924390792847,6015,128,5.138624731124049,1781466605.5560076,1781466606.2785435,1781466631.187932,
doc10_q1,True,0.7284302711486816,25.637263298034668,6015,128,5.138739332422355,1781466605.550813,1781466606.2792432,1781466631.1880763,
doc11_q1,True,0.7271924018859863,25.635770559310913,6015,128,5.1387919130118975,1781466605.5523791,1781466606.2795715,1781466631.1881497,
doc13_q1,True,0.7255465984344482,25.633864402770996,6015,128,5.138845626006713,1781466605.5543501,1781466606.2798967,1781466631.1882145,
doc12_q1,True,0.7278487682342529,25.634851455688477,6015,128,5.1391169626554145,1781466605.5534267,1781466606.2812755,1781466631.1882782,
doc14_q1,True,0.7255911827087402,25.633161544799805,6015,128,5.13899983576134,1781466605.5551782,1781466606.2807693,1781466631.1883397,
doc16_q1,True,1.0887880325317383,25.79662036895752,6015,128,5.180543491518463,1781466605.5643249,1781466606.653113,1781466631.3609452,
doc17_q1,True,1.0840528011322021,25.789780139923096,6015,128,5.180984888432123,1781466605.5712943,1781466606.655347,1781466631.3610744,
doc19_q1,True,1.0607571601867676,25.778664350509644,6015,128,5.17843193658856,1781466605.5826662,1781466606.6434233,1781466631.3613305,
doc18_q1,True,1.0806159973144531,25.784319400787354,6015,128,5.181409358323395,1781466605.57708,1781466606.657696,1781466631.3613994,
doc20_q1,True,0.7457444667816162,25.45169758796692,6015,128,5.180937540525011,1781466628.2252712,1781466628.9710157,1781466653.6769688,
doc21_q1,True,0.69805908203125,25.46802282333374,6015,128,5.167548945038114,1781466629.146161,1781466629.8442202,1781466654.614184,
doc22_q1,True,0.6970396041870117,25.478504419326782,6015,128,5.165150686403364,1781466629.1478655,1781466629.8449051,1781466654.62637,
doc23_q1,True,0.6967594623565674,25.47805666923523,6015,128,5.165185620891163,1781466629.148889,1781466629.8456485,1781466654.6269457,
doc25_q1,True,0.6953189373016357,25.4767062664032,6015,128,5.165166836712389,1781466629.1506286,1781466629.8459475,1781466654.6273348,
doc24_q1,True,0.6964492797851562,25.48554754257202,6015,128,5.163560152252583,1781466629.14979,1781466629.8462393,1781466654.6353376,
doc31_q1,True,0.6141483783721924,25.417389631271362,6015,128,5.160615852375281,1781466631.1937807,1781466631.807929,1781466656.6111703,
doc28_q1,True,0.6174347400665283,25.425931692123413,6015,128,5.159522571938299,1781466631.1912432,1781466631.808678,1781466656.6171749,
doc27_q1,True,0.6187732219696045,25.427040576934814,6015,128,5.159570322607864,1781466631.1902409,1781466631.809014,1781466656.6172814,
doc26_q1,True,0.6207108497619629,25.42873740196228,6015,128,5.159620404737401,1781466631.188621,1781466631.809332,1781466656.6173584,
doc30_q1,True,0.6172819137573242,25.424468278884888,6015,128,5.159795154356345,1781466631.1929681,1781466631.81025,1781466656.6174364,
doc29_q1,True,0.6186625957489014,25.425360918045044,6015,128,5.159896667302727,1781466631.1921399,1781466631.8108025,1781466656.6175008,
doc34_q1,True,0.7968611717224121,25.38977313041687,6015,128,5.204751686786221,1781466631.3650367,1781466632.161898,1781466656.7548099,
doc35_q1,True,0.7961564064025879,25.38890504837036,6015,128,5.204786250755506,1781466631.3660355,1781466632.1621919,1781466656.7549405,
doc32_q1,True,0.7987573146820068,25.393516302108765,6015,128,5.204360817905786,1781466631.3615053,1781466632.1602626,1781466656.7550216,
doc33_q1,True,0.7992799282073975,25.391870975494385,6015,128,5.204819604159633,1781466631.3632107,1781466632.1624906,1781466656.7550817,
doc36_q1,True,0.7224571704864502,25.38605546951294,6015,128,5.189834769772923,1781466653.6772094,1781466654.3996665,1781466679.0632648,
doc40_q1,True,0.8455691337585449,25.50265097618103,6015,128,5.191206356778851,1781466654.6480765,1781466655.4936457,1781466680.1507275,
doc41_q1,True,0.851109504699707,25.49382710456848,6015,128,5.194232311483439,1781466654.657093,1781466655.5082026,1781466680.1509202,
doc38_q1,True,0.8623397350311279,25.51515555381775,6015,128,5.192104664265488,1781466654.6363149,1781466655.4986546,1781466680.1514704,
doc39_q1,True,0.8611209392547607,25.509415864944458,6015,128,5.193056979636832,1781466654.6422257,1781466655.5033467,1781466680.1516416,
doc37_q1,True,0.8778443336486816,25.523640871047974,6015,128,5.193583409071955,1781466654.6281328,1781466655.5059772,1781466680.1517737,
doc43_q1,True,0.5500760078430176,25.39934730529785,6015,128,5.1510564824132405,1781466656.617911,1781466657.167987,1781466682.0172584,
doc42_q1,True,0.5530509948730469,25.402568340301514,6015,128,5.151005479128471,1781466656.615304,1781466657.168355,1781466682.0178723,
doc44_q1,True,0.8913590908050537,25.56655502319336,6015,128,5.187395486168726,1781466656.6190116,1781466657.5103707,1781466682.1855667,
doc45_q1,True,0.8914439678192139,25.56784462928772,6015,128,5.187142231803212,1781466656.6199567,1781466657.5114007,1781466682.1878014,
doc46_q1,True,0.892017126083374,25.56707262992859,6015,128,5.187425008225543,1781466656.6208162,1781466657.5128334,1781466682.1878889,
doc47_q1,True,0.8907124996185303,25.566316843032837,6015,128,5.187309628514206,1781466656.6216438,1781466657.5123563,1781466682.1879606,
doc48_q1,True,0.7578117847442627,25.434765815734863,6015,128,5.18702591248705,1781466656.7553265,1781466657.5131383,1781466682.1900923,
doc49_q1,True,0.7565760612487793,25.433308601379395,6015,128,5.187072469656977,1781466656.7568638,1781466657.51344,1781466682.1901724,
doc50_q1,True,0.7558763027191162,25.43238139152527,6015,128,5.18712028058073,1781466656.7578583,1781466657.5137346,1781466682.1902397,
doc51_q1,True,0.7554571628570557,25.43156147003174,6015,128,5.18720452817925,1781466656.758741,1781466657.514198,1781466682.1903024,
doc52_q1,True,0.7219288349151611,25.558629035949707,6015,128,5.1536636897790595,1781466679.0640242,1781466679.785953,1781466704.6226532,
doc56_q1,True,0.6831121444702148,25.58008313179016,6015,128,5.141187659542622,1781466680.1603937,1781466680.8435059,1781466705.7404768,
doc55_q1,True,0.6865720748901367,25.58931255340576,6015,128,5.139996544172703,1781466680.1574488,1781466680.8440208,1781466705.7467613,
doc54_q1,True,0.6903941631317139,25.592888593673706,6015,128,5.14004732967685,1781466680.1543493,1781466680.8447435,1781466705.747238,
doc57_q1,True,0.6806607246398926,25.582998514175415,6015,128,5.140079661668883,1781466680.1646776,1781466680.8453383,1781466705.7476761,
doc53_q1,True,0.6931178569793701,25.596117734909058,6015,128,5.139943003952714,1781466680.1519237,1781466680.8450415,1781466705.7480414,
doc59_q1,True,0.5370526313781738,25.636406421661377,6015,128,5.099732888324522,1781466682.0253718,1781466682.5624244,1781466707.6617782,
doc58_q1,True,0.5412075519561768,25.643691778182983,6015,128,5.099096919908308,1781466682.0187366,1781466682.5599442,1781466707.6624284,
doc61_q1,True,0.6200010776519775,25.661654710769653,6015,128,5.111483525621469,1781466682.190533,1781466682.810534,1781466707.8521876,
doc60_q1,True,0.624657392501831,25.664470672607422,6015,128,5.11185920470491,1781466682.188248,1781466682.8129053,1781466707.8527186,
doc67_q1,True,1.0238428115844727,25.830434560775757,6015,128,5.159918835048064,1781466682.1966035,1781466683.2204463,1781466708.027038,
doc66_q1,True,1.0323567390441895,25.83201003074646,6015,128,5.161362479322547,1781466682.1957805,1781466683.2281373,1781466708.0277905,
doc62_q1,True,1.042511224746704,25.83993911743164,6015,128,5.161825676192775,1781466682.191752,1781466683.2342632,1781466708.031691,
doc64_q1,True,1.0439188480377197,25.83828830718994,6015,128,5.162462397395308,1781466682.193965,1781466683.2378838,1781466708.0322533,
doc65_q1,True,1.0468087196350098,25.837862491607666,6015,128,5.163152852530596,1781466682.1948948,1781466683.2417035,1781466708.0327573,
doc63_q1,True,1.0526318550109863,25.840511322021484,6015,128,5.163814039452292,1781466682.1926603,1781466683.2452922,1781466708.0331717,
doc68_q1,True,0.7195644378662109,26.5882670879364,6015,128,4.948064142662086,1781466704.6229837,1781466705.3425481,1781466731.2112508,
doc69_q1,True,0.5633182525634766,26.560361862182617,6015,128,4.923636776630972,1781466705.7484148,1781466706.311733,1781466732.3087766,
doc73_q1,True,0.9361722469329834,26.760252952575684,6015,128,4.956614001443673,1781466705.7749667,1781466706.711139,1781466732.5352197,
doc72_q1,True,0.9456939697265625,26.768096208572388,6015,128,4.956936183398295,1781466705.769043,1781466706.714737,1781466732.5371392,
doc71_q1,True,0.9567375183105469,26.774643421173096,6015,128,4.957799462186747,1781466705.763029,1781466706.7197666,1781466732.5376725,
doc70_q1,True,0.9670743942260742,26.781822204589844,6015,128,4.9584059832888325,1781466705.7562761,1781466706.7233505,1781466732.5380983,
doc74_q1,True,0.5798945426940918,26.690460443496704,6015,128,4.902230020072656,1781466707.673227,1781466708.2531216,1781466734.3636875,
doc75_q1,True,0.5758681297302246,26.684133768081665,6015,128,4.902661929866986,1781466707.6797955,1781466708.2556636,1781466734.3639293,
doc0_q2,True,0.6223440170288086,26.717984199523926,6014,128,4.905033910065255,1781466707.8534613,1781466708.4758053,1781466734.5714455,
doc1_q2,True,0.6165425777435303,26.713040590286255,6014,128,4.9048726744285585,1781466707.8598194,1781466708.476362,1781466734.57286,
doc6_q2,True,0.9472346305847168,27.005038738250732,6014,128,4.912156046270351,1781466708.0594068,1781466709.0066414,1781466735.0644455,
doc7_q2,True,0.9485831260681152,27.008289575576782,6014,128,4.911797462032168,1781466708.0654466,1781466709.0140297,1781466735.0737362,
doc4_q2,True,0.972999095916748,27.02638077735901,6014,128,4.912989859246333,1781466708.0478451,1781466709.0208442,1781466735.074226,
doc5_q2,True,0.9706854820251465,27.020895957946777,6014,128,4.913587938888678,1781466708.0537622,1781466709.0244477,1781466735.0746582,
doc2_q2,True,0.9946720600128174,27.04939556121826,6014,128,4.912736839985194,1781466708.033645,1781466709.028317,1781466735.0830405,
doc3_q2,True,0.9920542240142822,27.043508052825928,6014,128,4.913353428991291,1781466708.0400007,1781466709.032055,1781466735.0835087,
doc8_q2,True,0.7205283641815186,25.870242834091187,6014,128,5.089521002441017,1781466731.2114336,1781466731.931962,1781466757.0816765,
doc9_q2,True,0.638577938079834,25.88981342315674,6014,128,5.069058901123712,1781466732.3089802,1781466732.9475582,1781466758.1987936,
doc10_q2,True,0.7167637348175049,25.849038124084473,6015,128,5.09305278214947,1781466732.5385268,1781466733.2552905,1781466758.387565,
doc11_q2,True,0.7136335372924805,25.841010093688965,6015,128,5.094045520936646,1781466732.5467236,1781466733.2603571,1781466758.3877337,
